id,name,description,campaign_type,date_from,date_to,timestamp
1,Campaign A,Campaign A,1,2/8/18,3/22/18,2/8/18 0:00
2,Campaign A,Campaign A,1,7/9/17,10/12/17,7/9/17 0:00
3,Campaign A,Campaign A,1,7/10/16,10/16/16,7/10/16 0:00
4,Campaign A,Campaign A,1,2/9/17,4/13/17,2/9/17 0:00
5,Campaign A,Campaign A,1,2/11/16,4/14/16,2/11/16 0:00
6,Campaign B,Campaign B,1,1/29/17,4/23/17,1/29/17 0:00
7,Campaign B,Campaign B,1,11/2/17,11/2/17,11/2/17 0:00
8,Campaign B,Campaign B,1,11/17/16,11/17/16,11/17/16 0:00
9,Campaign B,Campaign B,1,2/1/16,4/24/16,2/1/16 0:00
10,Campaign B,Campaign B,1,1/28/18,4/19/18,1/28/18 0:00
11,Campaign C,Campaign C,1,5/15/16,5/15/16,5/15/16 0:00
12,Campaign C,Campaign C,1,4/29/18,4/29/18,4/29/18 0:00
13,Campaign C,Campaign C,1,5/4/17,5/4/17,5/4/17 0:00
14,Campaign D,Campaign D,1,4/2/17,4/2/17,4/2/17 0:00
15,Campaign D,Campaign D,1,4/8/18,4/8/18,4/8/18 0:00
16,Campaign D,Campaign D,1,4/3/16,4/3/16,4/3/16 0:00
17,Campaign E,Campaign E,1,5/26/16,5/26/16,5/26/16 0:00
18,Campaign E,Campaign E,1,5/14/17,5/14/17,5/14/17 0:00
19,Campaign E,Campaign E,1,5/10/18,5/10/18,5/10/18 0:00
20,Campaign F,Campaign F,1,3/11/18,3/11/18,3/11/18 0:00
21,Campaign F,Campaign F,1,3/12/17,3/12/17,3/12/17 0:00
22,Campaign F,Campaign F,1,3/13/16,3/13/16,3/13/16 0:00
23,Campaign G,Campaign G,1,2/21/16,2/21/16,2/21/16 0:00
24,Campaign G,Campaign G,1,2/19/17,2/19/17,2/19/17 0:00
25,Campaign G,Campaign G,1,2/22/18,2/22/18,2/22/18 0:00
26,Campaign H,Campaign H,1,1/21/16,1/21/16,1/21/16 0:00
27,Campaign H,Campaign H,1,1/12/17,1/12/17,1/12/17 0:00
28,Campaign H,Campaign H,1,1/12/18,1/12/18,1/12/18 0:00
29,Campaign I,Campaign I,1,6/30/16,6/30/16,6/30/16 0:00
30,Campaign I,Campaign I,1,6/18/17,6/18/17,6/18/17 0:00
31,Campaign I,Campaign I,1,6/7/18,6/7/18,6/7/18 0:00
32,Campaign J,Campaign J,1,6/28/18,6/28/18,6/28/18 0:00